iter	Logloss
0	0.6652524224
1	0.6348011801
2	0.6273548862
3	0.6214450352
4	0.6195127134
5	0.6164055069
6	0.6146488921
7	0.6060013802
8	0.6058782559
9	0.6040004139
10	0.6025073608
11	0.6013479967
12	0.601180261
13	0.6006938499
14	0.5999135233
15	0.5996067977
16	0.5993690798
17	0.5983026588
18	0.5974790041
19	0.5959990995
20	0.5953329759
21	0.5943264491
22	0.5920414321
23	0.5910963328
24	0.5909441997
25	0.5892852721
26	0.5891772592
27	0.5865907164
28	0.5857718611
29	0.5855630102
30	0.5855273834
31	0.5842128569
32	0.5831286734
33	0.582475386
34	0.5824164191
35	0.5814840063
36	0.5813734981
37	0.5813635235
38	0.5813094764
39	0.5811035656
40	0.5808828738
41	0.5808565482
42	0.5795819777
43	0.5795673857
44	0.5779932014
45	0.5762105548
46	0.5761868073
47	0.5758778065
48	0.5758727261
49	0.5746862441
