iter	Passed	Remaining
0	4	220
1	8	214
2	13	207
3	16	192
4	20	184
5	24	180
6	28	177
7	33	175
8	38	175
9	43	172
10	46	165
11	50	158
12	53	153
13	57	147
14	60	142
15	64	137
16	68	132
17	71	126
18	74	122
19	78	117
20	81	112
21	84	107
22	87	102
23	90	98
24	93	93
25	97	89
26	100	85
27	103	81
28	107	77
29	110	73
30	113	69
31	116	65
32	119	61
33	123	57
34	126	54
35	129	50
36	132	46
37	135	42
38	138	39
39	141	35
40	144	31
41	147	28
42	150	24
43	153	20
44	156	17
45	159	13
46	163	10
47	165	6
48	168	3
49	171	0
